Date,61T,54T,24T,26T,27T,30T,36T,40T,46T,44T
1/1/2014,N/A,N/A,N/A,N/A,108,67,52,53,83,29
1/2/2014,N/A,N/A,N/A,N/A,110,68,39,52,92,25
1/3/2014,N/A,N/A,N/A,N/A,146,N/A,45,57,108,27
1/4/2014,N/A,N/A,N/A,N/A,141,N/A,42,45,64,34
1/5/2014,N/A,N/A,N/A,N/A,107,65,47,51,81,31
1/6/2014,N/A,N/A,N/A,N/A,112,N/A,40,62,94,20
1/7/2014,N/A,N/A,N/A,N/A,75,N/A,28,49,104,28
1/8/2014,N/A,N/A,N/A,N/A,90,49,29,45,89,35
1/9/2014,N/A,N/A,N/A,N/A,122,52,34,N/A,39,19
1/10/2014,N/A,N/A,N/A,N/A,57,42,33,45,29,13
1/11/2014,N/A,N/A,N/A,N/A,78,38,40,35,32,17
1/12/2014,N/A,N/A,N/A,N/A,68,38,35,30,21,12
1/13/2014,N/A,N/A,45,N/A,68,25,33,25,24,14
1/14/2014,N/A,N/A,41,N/A,52,26,36,24,26,14
1/15/2014,N/A,N/A,44,N/A,79,27,35,21,51,17
1/16/2014,N/A,N/A,64,N/A,83,40,35,37,66,25
1/17/2014,N/A,N/A,67,N/A,105,44,38,38,59,23
1/18/2014,N/A,N/A,55,N/A,63,32,33,32,52,18
1/19/2014,N/A,N/A,75,N/A,84,57,31,42,81,15
1/20/2014,N/A,N/A,74,N/A,95,56,41,49,57,21
1/21/2014,N/A,N/A,65,N/A,80,45,50,54,77,31
1/22/2014,N/A,N/A,91,N/A,111,74,46,63,88,23
1/23/2014,N/A,N/A,81,N/A,135,65,53,N/A,90,43
1/24/2014,N/A,N/A,107,N/A,149,N/A,46,N/A,94,45
1/25/2014,N/A,N/A,116,N/A,158,65,45,N/A,114,30
1/26/2014,N/A,N/A,118,N/A,130,70,41,N/A,67,32
1/27/2014,N/A,N/A,87,N/A,173,69,61,N/A,42,27
1/28/2014,N/A,N/A,60,N/A,145,59,63,N/A,44,20
1/29/2014,N/A,N/A,84,N/A,73,43,43,58,49,13
1/30/2014,N/A,N/A,70,N/A,63,30,46,49,33,15
1/31/2014,N/A,N/A,N/A,N/A,65,N/A,43,50,41,17
2/1/2014,N/A,N/A,N/A,N/A,44,N/A,34,54,64,26
2/2/2014,N/A,N/A,N/A,N/A,44,24,28,47,73,28
2/3/2014,N/A,N/A,N/A,N/A,51,32,27,N/A,75,34
2/4/2014,N/A,N/A,N/A,N/A,35,26,32,N/A,85,38
2/5/2014,N/A,N/A,N/A,N/A,31,16,32,N/A,79,28
2/6/2014,N/A,N/A,N/A,N/A,31,16,34,N/A,62,24
2/7/2014,N/A,N/A,44,N/A,21,15,31,83,59,17
2/8/2014,N/A,N/A,41,N/A,20,16,29,N/A,44,22
2/9/2014,N/A,N/A,50,N/A,32,18,31,N/A,57,26
2/10/2014,N/A,N/A,50,N/A,42,26,38,N/A,66,26
2/11/2014,N/A,N/A,54,N/A,25,29,46,105,26,24
2/12/2014,N/A,N/A,N/A,N/A,22,20,46,63,43,20
2/13/2014,N/A,N/A,N/A,N/A,20,N/A,38,55,53,18
2/14/2014,N/A,N/A,60,N/A,22,N/A,41,54,25,14
2/15/2014,N/A,N/A,50,N/A,20,18,34,49,43,21
2/16/2014,N/A,N/A,47,N/A,21,N/A,34,58,63,16
2/17/2014,N/A,N/A,46,N/A,26,10,31,31,83,15
2/18/2014,N/A,N/A,42,N/A,26,11,23,39,53,N/A
2/19/2014,N/A,N/A,79,N/A,26,12,32,38,49,N/A
2/20/2014,N/A,N/A,64,N/A,43,12,32,54,32,N/A
2/21/2014,N/A,N/A,58,N/A,63,14,56,45,30,N/A
2/22/2014,N/A,N/A,76,N/A,82,13,38,56,53,N/A
2/23/2014,N/A,N/A,76,N/A,29,11,36,63,59,N/A
2/24/2014,N/A,N/A,54,N/A,38,11,41,81,58,N/A
2/25/2014,N/A,N/A,52,N/A,25,11,N/A,65,74,N/A
2/26/2014,N/A,N/A,49,N/A,29,11,N/A,77,72,N/A
2/27/2014,N/A,N/A,48,N/A,26,11,N/A,83,60,N/A
2/28/2014,N/A,N/A,44,N/A,23,9,N/A,76,69,N/A
3/1/2014,N/A,N/A,47,N/A,23,9,N/A,77,66,N/A
3/2/2014,N/A,N/A,46,N/A,23,12,N/A,77,64,N/A
3/3/2014,N/A,N/A,57,N/A,26,9,N/A,70,62,N/A
3/4/2014,N/A,N/A,N/A,N/A,28,11,N/A,66,72,N/A
3/5/2014,N/A,N/A,45,N/A,30,12,N/A,109,82,N/A
3/6/2014,N/A,N/A,43,N/A,30,12,N/A,123,82,N/A
3/7/2014,N/A,N/A,48,N/A,24,11,N/A,114,72,N/A
3/8/2014,N/A,N/A,45,N/A,24,9,61,86,68,N/A
