Year, Total, Bangkok, Central,Kanchanaburi,Nakhon Pathom,Prachuap Khiri Khan,Phetchaburi,Ratchaburi,Samut Prakan,Samut Songkhram,Samut Sakhon,Chai Nat,Nonthaburi,Pathum Thani,Ayutthaya,Lop Buri,Saraburi,Sing Buri,Suphan Buri,Ang Thong, Eastern,Chanthaburi,Chachoengsao,Chon Buri,Trad,Nakhon Nayok,Prachin Buri,Rayong,Sa Kaeo, Southern,Krabi,Chumphon,Nakhon Si Thammarat,Phangnga,Phuket,Ranong,Surat Thani,Trat,Narathiwat,Pattani,Phatthalung,Yala,Songkhla,Satun, Northern,Chiang Rai,Chiang Mai,Nan,Phayao,Phrae,Mae Hong Son,Lampang,Lamphun,Kamphaeng Phet,Tak,Nakhon Sawan,Phichit,Phitsanulok,Phetchabun,Sukhothai,Uttaradit,Uthai Thani, Northeastern,Kalasin,Khon Kaen,Nakhon Phanom,Bueng Kan,Maha Sarakham,Loei,Sakon Nakhon,Nong Khai,Nong Bua Lam Phu,Udon Thani,Chaiyaphum,Nakhon Ratchasima,Buri Ram,Mukdahan,Yasothon,Roi Et,Sisaket,Surin,Amnat Charoen,Ubon Ratchathani,Agriculture ,CR  pm ,,
1/1/2019,94564420000,29742580000,3916570000,2438190000,391120000,2516840000,1776560000,439180000,308330000,337590000,163760000,100900000,422330000,204140000,1054250000,451830000,336190000,69220000,484900000,126320000,9443010000,795710000,288180000,3967440000,900150000,836200000,479400000,1980420000,483690000,18636000000,2989400000,447370000,1235490000,929750000,4770590000,322820000,1285970000,1029670000,63950000,78470000,178810000,37040000,3605370000,1661300000,15470830000,2628010000,7670670000,323320000,143930000,151750000,421090000,285760000,172640000,149140000,695170000,340970000,135340000,916860000,855940000,206210000,251190000,122840000,9362170000,92720000,1881610000,210700000,137140000,113550000,463520000,239410000,446920000,38250000,695870000,177360000,2407700000,355910000,354150000,72890000,114430000,278840000,335080000,32640000,913480000,36.53327987,563,,
2/1/2019,2198180000,519840000,58370000,35940000,2630000,46500000,26330000,8170000,2230000,4800000,1270000,3610000,3000000,1140000,22540000,6270000,9510000,3580000,6630000,730000,328370000,49290000,1860000,116020000,93920000,3870000,5270000,55120000,4880000,247270000,16370000,4600000,19280000,19250000,141800000,2970000,20220000,9810000,740000,1080000,1790000,760000,5100000,3500000,684990000,113010000,342220000,14280000,13290000,7160000,19810000,13520000,5940000,5610000,22860000,24650000,7450000,42570000,38680000,6670000,5080000,2190000,230970000,1650000,25540000,3730000,2020000,2240000,4460000,3380000,4430000,720000,14150000,17570000,107610000,15790000,5760000,1000000,1630000,2520000,7350000,1050000,8370000,32.772099,307,,
3/1/2019,92831890000,27781570000,5151400000,2189300000,597120000,3080080000,3083130000,329890000,262040000,263110000,360130000,106230000,276240000,212440000,1205750000,568920000,929430000,80640000,702090000,62660000,11857390000,587530000,489800000,5225050000,965530000,522570000,361110000,3657260000,538340000,15304720000,3354650000,510380000,1134990000,760960000,3737340000,267000000,1400090000,572290000,69730000,74170000,407930000,61230000,2470040000,483920000,13889450000,2172340000,6975840000,183080000,137410000,157210000,342700000,437280000,152770000,160880000,581270000,324400000,154140000,714130000,758640000,350700000,153430000,133230000,9199760000,107030000,1656050000,154220000,89840000,96080000,399840000,177360000,439000000,41960000,1071650000,195490000,2220160000,896090000,245120000,48330000,158830000,135720000,356370000,58420000,652200000,34.36269219,378,,
4/1/2019,52759740000,12973920000,3564060000,1707390000,385170000,2674640000,1893180000,139670000,240330000,369900000,50210000,89880000,304610000,166100000,962480000,368290000,466550000,59370000,355870000,47870000,7945580000,359230000,423200000,5433310000,619250000,288050000,219360000,708800000,317580000,6967490000,1034140000,263930000,498370000,197560000,1226620000,97170000,1698960000,308840000,49080000,48900000,62210000,140370000,935210000,406130000,9625310000,2434230000,3552690000,230670000,131260000,212490000,283560000,351220000,102970000,96930000,417470000,341150000,93350000,479610000,539560000,139500000,105520000,113130000,4542730000,55230000,801750000,210270000,79180000,55900000,280960000,294820000,211590000,17060000,441330000,98450000,736000000,522890000,181320000,36770000,59740000,83320000,127300000,18150000,230700000,26.62619501,384,,
5/1/2019,47178080000,9467420000,2638930000,1495470000,263050000,2155620000,1811480000,161420000,136270000,178110000,76500000,61130000,141150000,125820000,700640000,257040000,392090000,49070000,259140000,36240000,6575640000,411370000,399930000,3378320000,562070000,345830000,265900000,1378160000,233990000,7647190000,924080000,255500000,1113800000,266980000,1615690000,75140000,803310000,250860000,39650000,32690000,153800000,215430000,1561560000,338700000,9735750000,1562540000,4866560000,165220000,97400000,95040000,273140000,310620000,109080000,109970000,401270000,225140000,89290000,499270000,441460000,295710000,105380000,88660000,5051910000,51080000,913940000,123600000,59220000,79380000,328140000,216690000,253430000,19310000,725180000,108710000,1177540000,214340000,117390000,32200000,108980000,81670000,160510000,30260000,250340000,65.69528147,267,,
6/1/2019,84813220000,14601820000,17964150000,2835840000,624190000,4080310000,3106860000,451710000,406340000,636650000,213660000,164450000,502810000,396610000,1883800000,634330000,850310000,119100000,918520000,138660000,13325310000,1256320000,793990000,7714530000,932740000,519810000,380800000,1298300000,428820000,13639000000,1906140000,596320000,1215620000,395020000,2259200000,232220000,2927630000,635120000,135620000,97210000,235620000,265320000,1875030000,862930000,16934930000,4514460000,6304860000,364900000,241840000,285530000,499600000,557330000,176740000,170390000,744190000,526280000,133870000,843060000,904850000,274980000,212430000,179620000,8348010000,121250000,1285750000,282320000,132780000,92540000,535080000,289320000,446130000,34520000,774420000,236700000,1638390000,756400000,297150000,56620000,129630000,139390000,271540000,42630000,785450000,30.16777498,791.9,,
7/1/2019,29260610000,6403180000,673840000,842030000,108410000,824340000,510200000,124990000,62860000,94000000,31770000,13050000,48040000,19560000,105720000,138050000,65090000,18840000,156840000,16440000,3776460000,227010000,46010000,1898130000,289690000,371710000,183050000,616260000,190610000,8542800000,1943690000,155210000,438990000,235760000,3374030000,94720000,601160000,296170000,27580000,44260000,53780000,9390000,948130000,319930000,5594090000,1028260000,2741710000,103470000,41300000,41510000,108540000,105490000,51240000,60510000,299910000,117460000,44310000,314490000,378350000,51850000,63340000,42350000,1717840000,15520000,452060000,50960000,24790000,16740000,44980000,47060000,58510000,3950000,91130000,29420000,445910000,44420000,74430000,11550000,20600000,54220000,59990000,4570000,167030000,24.9083118,4874,,
8/1/2019,47737300000,9642600000,9120050000,1739600000,277250000,2346990000,1723910000,145020000,188460000,352180000,45620000,74060000,197100000,130880000,722640000,313200000,465600000,53060000,297790000,46690000,7780590000,268560000,396580000,5152390000,652870000,250870000,246400000,617920000,195000000,6758700000,1500900000,230940000,412600000,286710000,1341930000,99820000,979190000,238910000,36680000,40010000,69740000,114610000,917690000,488970000,10531710000,2650110000,4503460000,249610000,129940000,147810000,337390000,330120000,108950000,91280000,315380000,248030000,79070000,524620000,496720000,154770000,96450000,68000000,3903650000,51730000,699510000,114680000,104260000,30640000,235950000,98590000,215540000,14450000,387350000,140130000,733350000,365620000,148250000,33100000,61760000,80370000,115210000,24690000,248470000,33.32242714,822,,
9/1/2019,87387180000,24574000000,3494770000,2258470000,352190000,2207630000,1781620000,306530000,279520000,310000000,166090000,96300000,383270000,176260000,861310000,431320000,290070000,70410000,443350000,115080000,9543860000,677350000,272950000,4304150000,895960000,751880000,415100000,1994330000,505090000,21819050000,5225450000,443940000,1010990000,705660000,6681990000,330560000,1480180000,1085700000,88330000,79580000,178250000,43970000,4667300000,1467050000,12970440000,2145040000,6472950000,268140000,113190000,129280000,358360000,221670000,135520000,121490000,610160000,320900000,123520000,795800000,673010000,158660000,204910000,117840000,7677460000,79160000,1388800000,211020000,107880000,92170000,391930000,202900000,362200000,38350000,685860000,129830000,1928660000,298620000,309070000,61830000,102360000,249820000,273560000,30500000,732940000,36.76793162,1076,,
10/1/2019,47507160000,9927650000,9161220000,1693120000,251870000,2324880000,1818330000,134450000,196970000,333320000,37390000,75090000,174890000,114680000,801410000,378750000,432000000,58130000,285800000,50140000,7836710000,413860000,401530000,5061740000,633330000,239920000,234710000,570060000,281560000,6259310000,1064670000,251720000,376620000,218410000,1297600000,80200000,1125050000,307480000,45800000,48020000,39940000,136720000,728100000,538980000,10675710000,2810560000,4743160000,267250000,142820000,141640000,276290000,261270000,86010000,96490000,325060000,254310000,81190000,433260000,473800000,117950000,88710000,75940000,3646560000,44000000,563470000,126040000,74180000,35220000,207110000,113230000,162190000,14940000,423560000,116750000,734790000,394650000,155170000,26820000,57110000,89170000,90640000,17310000,200210000,32.13624545,721,,
